100
loop
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
fan_blink1, 690, 370
fan_blink2, 690, 370
fan_blink1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
p1, 690, 370
